hotel eastman:hotel eastman:roast beef cold meats:0.4:
hotel eastman:hotel eastman:omelet spanish style:0.575:
hotel eastman:hotel eastman:oysters boston stew box stew:0.4:
hotel eastman:hotel eastman:broiled or fried eggplant:0.0:
hotel eastman:hotel eastman:fruit wine cake:0.0:
hotel eastman:hotel eastman:dg yuengling jrs new york:0.15000000000000002:
hotel eastman:hotel eastman:lachs in schalen:0.0:
hotel eastman:hotel eastman:scotch whisky per glass:0.0:
hotel eastman:hotel eastman:cold consume julienne:0.0:
hotel eastman:hotel eastman:veal cutlets breaded (1):0.45:
hotel eastman:hotel eastman:huitres (cape cod) sur coquilles:0.0:
hotel eastman:hotel eastman:animelle al madera:2.475:
hotel eastman:hotel eastman:small tenderloin steak sevigne:0.0:
hotel eastman:hotel eastman:bordeaux larose 1881 vintage red:0.0:
hotel eastman:hotel eastman:oat flakes and milk:0.0:
hotel eastman:hotel eastman:baked chicken halibut a la creole:0.0:
hotel eastman:hotel eastman:stewed apples  rice:0.0:
hotel eastman:hotel eastman:mineral water hathorn:0.25:
hotel eastman:hotel eastman:sorbet tosca:0.0:
hotel eastman:hotel eastman:aiguillettes of sea bass with white wine:0.0
